Name,Platform,Format,Region,Now Playing,Ownership Status,Progress Status,Est. Value,Amt. Paid,Tags,Box/Case,Cart/Disc,Manual,Extras
Kiwi Kraze,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$21.47,,,,,,
Klash Ball,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$13.52,,,,,,
Klax,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.81,,,,,,
Knight Rider,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.05,,,,,,
Krusty's Fun House,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$12.28,,,,,,
Kung Fu,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.75,,,,,,
Laser Invasion,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$15.61,,,,,,
Lee Trevino's Fighting Golf,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$3.39,,,,,,
Legacy of the Wizard,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.17,,,,,,
Legendary Wings,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.50,,,,,,
Legends of the Diamond,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$12.39,,,,,,
Life Force,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$12.05,,,,,,
Little League Baseball: Championship Series,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.09,,,,,,
Little Nemo the Dream Master,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.33,,,,,,
Lode Runner (1983),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.19,,,,,,
Loopz,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.47,,,,,,
Low G Man: The Low Gravity Man,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.96,,,,,,
Lunar Pool,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.24,,,,,,
M.C. Kids,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$15.00,,,,,,
Mach Rider,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.38,,,,,,
Mad Max,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.80,,,,,,
Magic Darts,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.99,,,,,,
